ID,Date,Content,Organization,Clarity,Performance
JL19FS004,20/07/2019,31,24,23,E
JL19FS021,20/07/2019,28,25,22,E
JL19FS032,20/07/2019,30,19,19,V
JL19FS054,20/07/2019,31,18,18,V
JL19FS031,20/07/2019,18,18,21,A
JL19FS040,20/07/2019,18,19,20,A
JL19FS030,20/07/2019,19,19,18,A
JL19FS001,20/07/2019,17,18,20,A
JL19FS015,20/07/2019,19,18,18,A
JL19FS026,20/07/2019,18,18,18,A
JL19FS047,20/07/2019,18,17,17,A
JL19FS059,20/07/2019,17,17,18,A
JL19FS033,20/07/2019,17,16,18,A
JL19FS045,20/07/2019,17,17,17,A
JL19FS003,20/07/2019,16,17,17,A
JL19FS028,20/07/2019,18,15,17,A
JL19FS022,20/07/2019,18,15,15,P
JL19FS013,20/07/2019,17,14,15,P
JL19FS053,20/07/2019,17,11,17,P
JL19FS012,20/07/2019,17,14,13,P
JL19FS023,20/07/2019,17,14,11,P
JL19FS005,20/07/2019,16,13,12,P
JL19FS010,20/07/2019,16,13,12,P
JL19FS018,20/07/2019,16,12,13,P
JL19FS024,20/07/2019,16,12,12,P
JL19FS051,20/07/2019,14,13,13,P
JL19FS056,20/07/2019,16,12,12,P
JL19FS025,20/07/2019,16,12,11,P
JL19FS060,20/07/2019,16,12,11,P
JL19FS002,20/07/2019,10,14,14,P
JL19FS063,20/07/2019,14,12,12,P
JL19FS034,20/07/2019,12,12,13,P
JL19FS041,20/07/2019,13,12,12,P
JL19FS014,20/07/2019,16,12,8,P
JL19FS027,20/07/2019,14,11,11,P
JL19FS029,20/07/2019,12,11,13,P
JL19FS039,20/07/2019,16,12,8,P
JL19FS043,20/07/2019,16,12,8,P
JL19FS044,20/07/2019,16,12,8,P
JL19FS046,20/07/2019,16,13,7,P
JL19FS050,20/07/2019,16,12,8,P
JL19FS008,20/07/2019,16,11,8,P
JL19FS009,20/07/2019,16,11,8,P
JL19FS020,20/07/2019,11,12,12,P
JL19FS062,20/07/2019,13,11,11,P
JL19FS006,20/07/2019,16,11,7,U
JL19FS037,20/07/2019,16,11,7,U
JL19FS064,20/07/2019,16,11,7,U
JL19FS017,20/07/2019,12,11,10,U
JL19FS049,20/07/2019,11,11,11,U
JL19FS036,20/07/2019,16,8,8,U
JL19FS007,20/07/2019,11,11,8,U
JL19FS016,20/07/2019,11,11,8,U
JL19FS048,20/07/2019,10,11,8,U
JL19FS035,20/07/2019,11,8,8,U
JL19FS042,20/07/2019,8,8,9,U
JL19FS038,20/07/2019,10,8,6,U
JL19FS061,20/07/2019,7,7,7,U
JL19FS055,20/07/2019,7,6,6,U
JL19RM005,20/07/2019,31,22,23,E
JL19RM042,20/07/2019,31,22,21,E
JL19RM010,20/07/2019,31,22,20,E
JL19RM060,20/07/2019,31,20,17,V
JL19RM022,20/07/2019,24,20,20,V
JL19RM033,20/07/2019,27,18,18,V
JL19RM035,20/07/2019,24,18,18,A
JL19RM017,20/07/2019,19,20,20,A
JL19RM001,20/07/2019,18,16,23,A
JL19RM046,20/07/2019,20,17,20,A
JL19RM059,20/07/2019,22,17,17,A
JL19RM057,20/07/2019,20,16,18,A
JL19RM063,20/07/2019,18,18,17,A
JL19RM038,20/07/2019,17,17,18,A
JL19RM032,20/07/2019,17,18,16,A
JL19RM049,20/07/2019,18,16,17,A
JL19RM030,20/07/2019,17,16,16,P
JL19RM061,20/07/2019,17,15,14,P
JL19RM037,20/07/2019,14,17,14,P
JL19RM045,20/07/2019,17,15,13,P
JL19RM004,20/07/2019,16,13,14,P
JL19RM028,20/07/2019,16,14,13,P
JL19RM047,20/07/2019,16,15,12,P
JL19RM006,20/07/2019,17,13,12,P
JL19RM027,20/07/2019,16,14,11,P
JL19RM040,20/07/2019,16,12,13,P
JL19RM023,20/07/2019,14,13,13,P
JL19RM029,20/07/2019,16,12,12,P
JL19RM031,20/07/2019,16,12,12,P
JL19RM056,20/07/2019,16,12,12,P
JL19RM002,20/07/2019,16,12,11,P
JL19RM007,20/07/2019,16,11,12,P
JL19RM013,20/07/2019,16,11,12,P
JL19RM014,20/07/2019,16,12,11,P
JL19RM024,20/07/2019,16,11,11,P
JL19RM034,20/07/2019,16,11,11,P
JL19RM044,20/07/2019,16,11,11,P
JL19RM050,20/07/2019,16,11,11,P
JL19RM062,20/07/2019,16,11,11,P
JL19RM008,20/07/2019,13,12,12,P
JL19RM019,20/07/2019,16,12,9,P
JL19RM052,20/07/2019,16,10,11,P
JL19RM058,20/07/2019,16,11,10,P
JL19RM039,20/07/2019,16,11,9,P
JL19RM036,20/07/2019,16,11,8,P
JL19RM048,20/07/2019,12,11,12,P
JL19RM051,20/07/2019,12,11,12,P
JL19RM054,20/07/2019,16,9,10,P
JL19RM021,20/07/2019,11,11,12,U
JL19RM011,20/07/2019,12,10,10,U
JL19RM055,20/07/2019,11,10,11,U
JL19RM015,20/07/2019,13,8,10,U
JL19RM003,20/07/2019,14,8,8,U
JL19RM020,20/07/2019,13,8,8,U
JL19RM043,20/07/2019,13,8,8,U
JL19RM026,20/07/2019,10,9,9,U
JL19RM025,20/07/2019,10,8,8,U
JL19RM041,20/07/2019,10,7,7,U
JL19FS004,20/08/2019,33,24,25,E
JL19FS021,20/08/2019,32,24,23,E
JL19FS030,20/08/2019,32,23,24,E
JL19FS001,20/08/2019,32,22,23,E
JL19FS017,20/08/2019,32,22,23,E
JL19FS050,20/08/2019,32,23,22,E
JL19FS054,20/08/2019,32,22,23,E
JL19FS027,20/08/2019,31,22,23,E
JL19FS028,20/08/2019,31,22,23,E
JL19FS031,20/08/2019,31,22,23,E
JL19FS056,20/08/2019,31,22,23,E
JL19FS029,20/08/2019,31,22,22,E
JL19FS012,20/08/2019,31,21,22,E
JL19FS015,20/08/2019,30,22,20,E
JL19FS033,20/08/2019,32,18,22,E
JL19FS009,20/08/2019,27,22,22,E
JL19FS013,20/08/2019,27,22,21,E
JL19FS024,20/08/2019,27,21,22,E
JL19FS046,20/08/2019,27,21,22,E
JL19FS010,20/08/2019,27,21,21,V
JL19FS022,20/08/2019,24,21,20,V
JL19FS040,20/08/2019,27,18,20,V
JL19FS041,20/08/2019,23,21,21,V
JL19FS003,20/08/2019,23,22,19,V
JL19FS044,20/08/2019,24,19,21,V
JL19FS053,20/08/2019,22,21,21,V
JL19FS034,20/08/2019,22,21,20,V
JL19FS052,20/08/2019,23,21,19,V
JL19FS002,20/08/2019,23,21,18,A
JL19FS011,20/08/2019,24,19,19,A
JL19FS042,20/08/2019,24,19,19,A
JL19FS059,20/08/2019,24,20,18,A
JL19FS061,20/08/2019,24,19,19,A
JL19FS005,20/08/2019,23,19,19,A
JL19FS007,20/08/2019,21,22,18,A
JL19FS038,20/08/2019,23,20,18,A
JL19FS045,20/08/2019,20,21,20,A
JL19FS014,20/08/2019,22,20,18,A
JL19FS032,20/08/2019,21,18,21,A
JL19FS039,20/08/2019,23,20,17,A
JL19FS060,20/08/2019,19,21,20,A
JL19FS064,20/08/2019,24,17,18,A
JL19FS025,20/08/2019,21,18,18,A
JL19FS008,20/08/2019,21,17,18,A
JL19FS062,20/08/2019,18,20,18,A
JL19FS006,20/08/2019,21,17,17,A
JL19FS016,20/08/2019,22,16,17,A
JL19FS023,20/08/2019,20,17,18,A
JL19FS047,20/08/2019,22,16,17,A
JL19FS037,20/08/2019,21,17,16,A
JL19FS018,20/08/2019,18,18,17,A
JL19FS020,20/08/2019,17,20,16,A
JL19FS055,20/08/2019,17,18,18,A
JL19FS043,20/08/2019,18,17,16,A
JL19FS048,20/08/2019,18,16,17,A
JL19FS051,20/08/2019,18,17,16,A
JL19FS035,20/08/2019,17,16,17,A
JL19FS036,20/08/2019,18,17,14,P
JL19FS063,20/08/2019,17,14,15,P
JL19FS049,20/08/2019,16,15,14,P
JL19RM032,20/08/2019,32,27,27,E
JL19RM017,20/08/2019,32,26,25,E
JL19RM051,20/08/2019,33,25,25,E
JL19RM059,20/08/2019,31,26,25,E
JL19RM028,20/08/2019,32,24,25,E
JL19RM007,20/08/2019,32,23,23,E
JL19RM022,20/08/2019,31,24,23,E
JL19RM030,20/08/2019,32,22,24,E
JL19RM001,20/08/2019,31,22,23,E
JL19RM003,20/08/2019,31,22,23,E
JL19RM024,20/08/2019,31,23,22,E
JL19RM035,20/08/2019,31,23,22,E
JL19RM057,20/08/2019,31,22,23,E
JL19RM061,20/08/2019,32,21,22,E
JL19RM033,20/08/2019,31,22,21,E
JL19RM036,20/08/2019,31,22,21,E
JL19RM038,20/08/2019,31,22,21,E
JL19RM034,20/08/2019,30,22,21,E
JL19RM062,20/08/2019,31,22,20,E
JL19RM015,20/08/2019,31,21,20,E
JL19RM016,20/08/2019,31,20,21,E
JL19RM019,20/08/2019,31,20,20,E
JL19RM047,20/08/2019,30,20,21,E
JL19RM020,20/08/2019,26,21,22,V
JL19RM060,20/08/2019,27,22,20,V
JL19RM037,20/08/2019,31,18,19,V
JL19RM029,20/08/2019,26,20,21,V
JL19RM048,20/08/2019,26,17,21,V
JL19RM054,20/08/2019,31,17,15,V
JL19RM046,20/08/2019,21,20,20,A
JL19RM006,20/08/2019,22,19,18,A
JL19RM008,20/08/2019,20,19,20,A
JL19RM002,20/08/2019,20,20,18,A
JL19RM027,20/08/2019,20,21,17,A
JL19RM049,20/08/2019,22,17,19,A
JL19RM004,20/08/2019,20,19,18,A
JL19RM031,20/08/2019,20,17,20,A
JL19RM045,20/08/2019,20,20,17,A
JL19RM058,20/08/2019,21,18,18,A
JL19RM040,20/08/2019,20,19,17,A
JL19RM011,20/08/2019,18,18,19,A
JL19RM023,20/08/2019,20,17,18,A
JL19RM056,20/08/2019,20,18,17,A
JL19RM063,20/08/2019,18,17,19,A
JL19RM005,20/08/2019,18,17,18,A
JL19RM014,20/08/2019,18,16,19,A
JL19RM043,20/08/2019,18,18,17,A
JL19RM041,20/08/2019,18,16,17,A
JL19RM042,20/08/2019,18,16,17,A
JL19RM052,20/08/2019,16,17,16,P
JL19RM025,20/08/2019,17,15,16,P
JL19RM055,20/08/2019,17,16,15,P
JL19RM039,20/08/2019,16,15,15,P
JL19RM021,20/08/2019,17,13,14,P
JL19RM026,20/08/2019,16,14,13,P
JL19RM044,20/08/2019,16,14,13,P
JL19RM013,20/08/2019,17,15,10,P
JL19RM050,20/08/2019,14,13,13,P
